ID,TIPO,COLOR_TIPO
227881,Decreto,#ff7f0e
71,Ley,#1f77b4
15,Ley,#1f77b4
15468,Resolución,#2ca02c
161,Ley,#1f77b4
4389,Decreto,#ff7f0e
6325,Decreto,#ff7f0e
365,Ley,#1f77b4
6965,Decreto,#ff7f0e
9197,Decreto,#ff7f0e
15388,Decreto,#ff7f0e
16739,Decreto,#ff7f0e
10082,Decreto,#ff7f0e
11490,Decreto,#ff7f0e
37767,Resolución,#2ca02c
12905,Decreto,#ff7f0e
16670,Decreto,#ff7f0e
27897,Decreto,#ff7f0e
31692,Ley,#1f77b4
38621,Ley,#1f77b4
44039,Resolución,#2ca02c
44911,Decreto,#ff7f0e
48163,Ley,#1f77b4
61920,Ley,#1f77b4
65015,Ley,#1f77b4
82954,Decreto,#ff7f0e
120828,Resolución,#2ca02c
132348,Decreto,#ff7f0e
134699,Resolución,#2ca02c
148397,Ley,#1f77b4
152117,Decreto,#ff7f0e
154993,Decreto,#ff7f0e
157292,Decreto,#ff7f0e
169119,Decreto,#ff7f0e
178950,Resolución,#2ca02c
197405,Decreto,#ff7f0e
209126,Resolución,#2ca02c
255494,Resolución,#2ca02c
262862,Decreto,#ff7f0e
316974,Ley,#1f77b4
28185,Ley,#1f77b4
129082,Decreto,#ff7f0e
18771,Ley,#1f77b4
15764,Ley,#1f77b4
28195,Ley,#1f77b4
88759,Ley,#1f77b4
37912,Ley,#1f77b4
64610,Ley,#1f77b4
25553,Ley,#1f77b4
69798,Ley,#1f77b4
25552,Ley,#1f77b4
45186,Ley,#1f77b4
27287,Ley,#1f77b4
14,Ley,#1f77b4
60,Ley,#1f77b4
70,Ley,#1f77b4
1169,Decreto,#ff7f0e
1359,Decreto,#ff7f0e
186244,Decreto,#ff7f0e
41376,Ley,#1f77b4
17699,Ley,#1f77b4
89937,Ley,#1f77b4
172715,Ley,#1f77b4
56254,Ley,#1f77b4
33482,Ley,#1f77b4
51364,Decreto,#ff7f0e
16536,Ley,#1f77b4
22268,Ley,#1f77b4
69,Ley,#1f77b4
141,Ley,#1f77b4
37924,Ley,#1f77b4
98,Ley,#1f77b4
1653,Decreto,#ff7f0e
2894,Decreto,#ff7f0e
3189,Decreto,#ff7f0e
4215,Decreto,#ff7f0e
45813,Ley,#1f77b4
46874,Ley,#1f77b4
16078,Ley,#1f77b4
28127,Ley,#1f77b4
31924,Ley,#1f77b4
270584,Ley,#1f77b4
19875,Ley,#1f77b4
38871,Ley,#1f77b4
28126,Ley,#1f77b4
270749,Ley,#1f77b4
62459,Ley,#1f77b4
18795,Ley,#1f77b4
123779,Ley,#1f77b4
170799,Ley,#1f77b4
154617,Resolución,#2ca02c
16071,Ley,#1f77b4
79745,Ley,#1f77b4
64612,Ley,#1f77b4
79746,Ley,#1f77b4
172962,Resolución,#2ca02c
47999,Ley,#1f77b4
28082,Ley,#1f77b4
304419,Ley,#1f77b4
16092,Ley,#1f77b4
20643,Ley,#1f77b4
195,Ley,#1f77b4
298,Ley,#1f77b4
283,Ley,#1f77b4
295,Ley,#1f77b4
819,Decreto,#ff7f0e
119942,Ley,#1f77b4
120044,Ley,#1f77b4
39736,Ley,#1f77b4
32386,Ley,#1f77b4
176,Ley,#1f77b4
17,Ley,#1f77b4
10531,Decreto,#ff7f0e
725,Ley,#1f77b4
22640,Resolución,#2ca02c
24541,Ley,#1f77b4
158987,Resolución,#2ca02c
17440,Ley,#1f77b4
16309,Ley,#1f77b4
32199,Ley,#1f77b4
28196,Ley,#1f77b4
32191,Ley,#1f77b4
19879,Ley,#1f77b4
28197,Ley,#1f77b4
32031,Ley,#1f77b4
28198,Ley,#1f77b4
23893,Ley,#1f77b4
22304,Ley,#1f77b4
381,Ley,#1f77b4
7258,Decreto,#ff7f0e
7389,Decreto,#ff7f0e
7396,Decreto,#ff7f0e
7516,Decreto,#ff7f0e
7783,Decreto,#ff7f0e
12368,Decreto,#ff7f0e
