ID,VINCULOSTOT,NODE_COLOR
227881,2.0,#999999
71,5.0,#CCCCCC
15,127.0,#666666
15468,3.0,#666666
161,33.0,#CCCCCC
4389,41.0,#666666
6325,2.0,#999999
365,330.0,#CCCCCC
6965,4.0,#CCCCCC
9197,2.0,#CCCCCC
15388,18.0,#999999
16739,2.0,#CCCCCC
10082,6.0,#CCCCCC
11490,2.0,#666666
37767,8.0,#666666
12905,7.0,#CCCCCC
16670,30.0,#CCCCCC
27897,5.0,#666666
31692,222.0,#666666
38621,82.0,#CCCCCC
44039,3.0,#CCCCCC
44911,163.0,#999999
48163,136.0,#999999
61920,179.0,#666666
65015,51.0,#CCCCCC
82954,56.0,#999999
120828,6.0,#666666
132348,4.0,#666666
134699,3.0,#CCCCCC
148397,15.0,#CCCCCC
152117,8.0,#CCCCCC
154993,3.0,#999999
157292,4.0,#CCCCCC
169119,7.0,#666666
178950,3.0,#666666
197405,5.0,#CCCCCC
209126,3.0,#CCCCCC
255494,3.0,#CCCCCC
262862,3.0,#CCCCCC
316974,211.0,#666666
355760,0.0,#CCCCCC
28185,81.0,#666666
129082,18.0,#999999
18771,328.0,#666666
15764,543.0,"(0.8901960784313725, 0.4666666666666667, 0.7607843137254902)"
28195,77.0,#999999
191485,6.0,#999999
64611,11.0,#666666
88759,19.0,#999999
37912,35.0,#999999
64610,44.0,#CCCCCC
25553,149.0,#CCCCCC
69798,10.0,#666666
25552,244.0,#999999
45186,15.0,#666666
27287,10.0,#CCCCCC
14,5.0,#CCCCCC
60,57.0,#666666
70,3.0,#999999
1169,2.0,#CCCCCC
1359,2.0,#666666
186244,3.0,#999999
41376,85.0,#666666
17699,349.0,#CCCCCC
89937,33.0,#666666
172715,9.0,#CCCCCC
56254,6.0,#999999
33482,19.0,#CCCCCC
51364,88.0,#999999
16536,680.0,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
22268,26.0,#CCCCCC
69,3.0,#666666
141,22.0,#666666
37924,20.0,#999999
98,255.0,#CCCCCC
1653,2.0,#666666
2894,50.0,#CCCCCC
3189,3.0,#666666
4215,42.0,#666666
45813,13.0,#666666
46874,1.0,#CCCCCC
16078,355.0,#999999
28127,170.0,#CCCCCC
31924,82.0,#999999
270584,23.0,#CCCCCC
19875,177.0,#666666
38871,80.0,#666666
28126,7.0,#999999
270749,2.0,#CCCCCC
62459,213.0,#CCCCCC
18795,77.0,#666666
123779,4.0,#CCCCCC
170799,3.0,#666666
154617,75.0,#666666
16071,228.0,#666666
79745,8.0,#CCCCCC
64612,4.0,#999999
79746,17.0,#666666
172962,2.0,#666666
47999,20.0,#CCCCCC
28082,2.0,#CCCCCC
304419,2.0,#666666
16092,251.0,#666666
20643,29.0,#666666
195,6.0,#666666
298,17.0,#999999
283,1.0,#999999
295,2.0,#999999
819,6.0,#666666
119942,7.0,#CCCCCC
120044,3.0,#CCCCCC
39736,13.0,#999999
32386,6.0,#999999
176,5.0,#CCCCCC
17,45.0,#CCCCCC
10531,2.0,#999999
725,69.0,#CCCCCC
22640,10.0,#CCCCCC
24541,314.0,#999999
158987,25.0,#CCCCCC
17440,67.0,#999999
16309,44.0,#999999
32199,8.0,#666666
28196,35.0,#CCCCCC
32191,56.0,#999999
19879,250.0,#999999
28197,21.0,#666666
32031,37.0,#666666
28198,22.0,#999999
23893,47.0,#999999
22304,11.0,#CCCCCC
381,107.0,#666666
7258,7.0,#999999
7389,4.0,#666666
7396,26.0,#999999
7516,7.0,#999999
7783,2.0,#999999
12368,120.0,#CCCCCC
464,390.0,#CCCCCC
8661,5.0,#666666
8741,3.0,#CCCCCC
8784,5.0,#666666
8808,2.0,#666666
475,955.0,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)"
554,1288.0,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
10619,17.0,#CCCCCC
17009,65.0,#CCCCCC
639,1288.0,"(1.0, 0.4980392156862745, 0.054901960784313725)"
9419,3.0,#CCCCCC
10221,7.0,#666666
11660,2.0,#CCCCCC
12901,3.0,#999999
790,71.0,#999999
14684,45.0,#CCCCCC
16102,39.0,#999999
25621,138.0,#999999
12907,13.0,#999999
13105,6.0,#999999
45165,6.0,#666666
21108,165.0,#666666
39523,15.0,#999999
17694,229.0,#666666
24117,3.0,#666666
16090,19.0,#999999
248,17.0,#CCCCCC
277,45.0,#999999
384,12.0,#666666
442,29.0,#999999
469,9.0,#999999
472,21.0,#999999
767,8.0,#CCCCCC
793,26.0,#999999
802,14.0,#999999
15932,524.0,"(0.7372549019607844, 0.7411764705882353, 0.13333333333333333)"
25031,28.0,#CCCCCC
25394,525.0,"(0.4980392156862745, 0.4980392156862745, 0.4980392156862745)"
27971,553.0,"(0.5490196078431373, 0.33725490196078434, 0.29411764705882354)"
34209,39.0,#666666
41170,118.0,#999999
42163,23.0,#999999
42762,42.0,#666666
42924,339.0,#666666
42930,106.0,#666666
43420,4.0,#999999
44910,8.0,#666666
54479,16.0,#CCCCCC
19622,49.0,#CCCCCC
23024,13.0,#CCCCCC
63,324.0,#666666
3647,266.0,#CCCCCC
18973,36.0,#999999
15626,6.0,#CCCCCC
16331,19.0,#CCCCCC
31688,4.0,#CCCCCC
32658,13.0,#666666
43279,10.0,#999999
50229,28.0,#666666
54254,22.0,#CCCCCC
55192,272.0,#999999
56741,3.0,#CCCCCC
58541,11.0,#CCCCCC
60039,60.0,#666666
60181,2.0,#999999
60555,2.0,#666666
61086,5.0,#666666
61629,4.0,#666666
61898,34.0,#CCCCCC
38822,65.0,#CCCCCC
53050,69.0,#999999
45628,24.0,#999999
63207,10.0,#666666
63206,28.0,#CCCCCC
27238,83.0,#999999
190,15.0,#999999
412,476.0,"(0.09019607843137255, 0.7450980392156863, 0.8117647058823529)"
14733,53.0,#666666
31989,48.0,#666666
41379,20.0,#666666
46927,15.0,#999999
48356,5.0,#CCCCCC
48890,7.0,#CCCCCC
51804,11.0,#666666
52021,3.0,#999999
63197,11.0,#CCCCCC
71477,293.0,#CCCCCC
10470,6.0,#666666
129438,2.0,#666666
27812,5.0,#CCCCCC
25551,14.0,#666666
172,17.0,#999999
328,74.0,#999999
25379,39.0,#CCCCCC
30389,191.0,#CCCCCC
84631,5.0,#999999
67013,2.0,#CCCCCC
49910,6.0,#CCCCCC
56455,6.0,#999999
196894,69.0,#999999
36657,305.0,#666666
226796,7.0,#CCCCCC
122172,2.0,#666666
248206,6.0,#999999
160514,4.0,#CCCCCC
38542,210.0,#999999
102069,29.0,#666666
116526,20.0,#666666
48851,70.0,#CCCCCC
25392,110.0,#666666
18462,124.0,#666666
58603,61.0,#999999
76185,26.0,#666666
37292,31.0,#CCCCCC
19946,138.0,#CCCCCC
389,25.0,#CCCCCC
460,40.0,#999999
8476,120.0,#999999
589,31.0,#999999
638,200.0,#CCCCCC
692,47.0,#CCCCCC
42701,120.0,#CCCCCC
51323,43.0,#CCCCCC
55190,57.0,#CCCCCC
55556,34.0,#CCCCCC
60016,39.0,#999999
65629,254.0,#999999
68137,87.0,#999999
69045,60.0,#666666
71552,15.0,#CCCCCC
72946,159.0,#999999
73707,80.0,#666666
74031,26.0,#666666
75465,6.0,#666666
81258,220.0,#666666
91229,256.0,#CCCCCC
94385,27.0,#CCCCCC
97698,54.0,#666666
102049,178.0,#999999
104875,23.0,#999999
112978,176.0,#999999
117467,4.0,#CCCCCC
119822,18.0,#CCCCCC
123956,168.0,#CCCCCC
124231,588.0,"(0.5803921568627451, 0.403921568627451, 0.7411764705882353)"
130522,14.0,#999999
136125,46.0,#666666
136187,149.0,#CCCCCC
138931,79.0,#999999
147502,247.0,#999999
160781,193.0,#CCCCCC
192132,112.0,#666666
200638,384.0,#999999
204228,131.0,#666666
221222,109.0,#CCCCCC
235275,35.0,#666666
238340,109.0,#CCCCCC
259940,17.0,#CCCCCC
262612,18.0,#999999
263690,11.0,#CCCCCC
263691,123.0,#666666
268322,45.0,#CCCCCC
269309,141.0,#CCCCCC
272266,7.0,#999999
287368,4.0,#999999
305179,16.0,#999999
305262,92.0,#666666
305347,234.0,#999999
305349,19.0,#666666
305361,44.0,#666666
308367,6.0,#666666
310241,28.0,#CCCCCC
310721,4.0,#CCCCCC
310722,5.0,#666666
311551,4.0,#999999
314042,23.0,#CCCCCC
261703,42.0,#999999
