ID,Vinc,id_norma,tipo_norma,numero_norma,clase_norma,organismo_origen,fecha_sancion,numero_boletin,fecha_boletin,pagina_boletin,titulo_resumido,titulo_sumario,texto_resumido,observaciones,texto_original,texto_actualizado,modificada_por,modifica_a,ANIO,RELACIONES
227881,15656,227881.0,Decreto,9208,,PODER EJECUTIVO NACIONAL (P.E.N.),1972-12-28,22575.0,1972-12-29,16.0,REGLAMENTA DISPOSICIONES DE LA LEY N° 19.640,ZONA FRANCA- CREACION,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm,,1.0,1.0,1972,2.0
227881,6325,227881.0,Decreto,9208,,PODER EJECUTIVO NACIONAL (P.E.N.),1972-12-28,22575.0,1972-12-29,16.0,REGLAMENTA DISPOSICIONES DE LA LEY N° 19.640,ZONA FRANCA- CREACION,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm,,1.0,1.0,1972,2.0
227881,272276,227881.0,Decreto,9208,,PODER EJECUTIVO NACIONAL (P.E.N.),1972-12-28,22575.0,1972-12-29,16.0,REGLAMENTA DISPOSICIONES DE LA LEY N° 19.640,ZONA FRANCA- CREACION,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm,,1.0,1.0,1972,2.0
227881,355761,227881.0,Decreto,9208,,PODER EJECUTIVO NACIONAL (P.E.N.),1972-12-28,22575.0,1972-12-29,16.0,REGLAMENTA DISPOSICIONES DE LA LEY N° 19.640,ZONA FRANCA- CREACION,"LAS EXENCIONES TRIBUTARIAS A QUE SE REFIEREN LOS ARTICULOS 1º A 4º DE LA LEY 19.640 SERAN APLICABLES PARA LOS RESPECTIVOS HECHOS GRAVADOS QUE SE ULTIMARAN DESDE LA FECHA, INCLUSIVE, DE LA ENTRADA EN VIGOR DE LA CITADA LEY. PARA EL IMPUESTO A LOS REDITOS, SE ENTENDERA QUE LA CITADA EXENCION ES APLICABLE A LOS EJERCICIOS FISCALES ANUALES CUYO CIERRE SE PRODUZCA DESDE LA FECHA, INCLUSIVE, DE LA MENCIONADA ENTRADA EN VIGOR.",,http://servicios.infoleg.gob.ar/infolegInternet/anexos/225000-229999/227881/norma.htm,,1.0,1.0,1972,2.0
71,174203,71.0,Ley,23669,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-06-01,26652.0,1989-06-12,2.0,I.V.A. - SUSPENDEN BENEFICIOS PROMOCION REGIONALES,IMPUESTOS,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,ABROGADA POR EL ARTICULO 8 DE LA LEY NRO. 23697 - B.O. 25/9/89,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm,,4.0,1.0,1989,5.0
71,15,71.0,Ley,23669,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-06-01,26652.0,1989-06-12,2.0,I.V.A. - SUSPENDEN BENEFICIOS PROMOCION REGIONALES,IMPUESTOS,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,ABROGADA POR EL ARTICULO 8 DE LA LEY NRO. 23697 - B.O. 25/9/89,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm,,4.0,1.0,1989,5.0
71,45444,71.0,Ley,23669,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-06-01,26652.0,1989-06-12,2.0,I.V.A. - SUSPENDEN BENEFICIOS PROMOCION REGIONALES,IMPUESTOS,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,ABROGADA POR EL ARTICULO 8 DE LA LEY NRO. 23697 - B.O. 25/9/89,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm,,4.0,1.0,1989,5.0
71,51493,71.0,Ley,23669,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-06-01,26652.0,1989-06-12,2.0,I.V.A. - SUSPENDEN BENEFICIOS PROMOCION REGIONALES,IMPUESTOS,SUSPENSION TEMPORAL Y PARCIAL DE CIERTOS BENEFICIOS EN EL IMPUESTO AL VALOR AGREGADO EN VIRTUD DE REGIMENES DE PROMOCION REGIONALES. SECTORIALES O ESPECIALES. PROMULGADA POR DEC. NRO. 802 DEL 9-6-89.,ABROGADA POR EL ARTICULO 8 DE LA LEY NRO. 23697 - B.O. 25/9/89,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/71/norma.htm,,4.0,1.0,1989,5.0
15,53662,15.0,Ley,23697,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-09-01,26725.0,1989-09-25,1.0,ESTADO DE EMERGENCIA,EMERGENCIA ECONOMICA,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/texact.htm,107.0,20.0,1989,127.0
15,1866,15.0,Ley,23697,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-09-01,26725.0,1989-09-25,1.0,ESTADO DE EMERGENCIA,EMERGENCIA ECONOMICA,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/texact.htm,107.0,20.0,1989,127.0
15,1923,15.0,Ley,23697,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-09-01,26725.0,1989-09-25,1.0,ESTADO DE EMERGENCIA,EMERGENCIA ECONOMICA,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/texact.htm,107.0,20.0,1989,127.0
15,1959,15.0,Ley,23697,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-09-01,26725.0,1989-09-25,1.0,ESTADO DE EMERGENCIA,EMERGENCIA ECONOMICA,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/texact.htm,107.0,20.0,1989,127.0
15,1947,15.0,Ley,23697,,HONORABLE CONGRESO DE LA NACION ARGENTINA,1989-09-01,26725.0,1989-09-25,1.0,ESTADO DE EMERGENCIA,EMERGENCIA ECONOMICA,SE SUSPENDEN BENEFICIOS PROMOCIONALES. ADOPCION DE MEDIDAS ECONOMICAS EN RAZON DEL ESTADO DE EMERGENCIA POR EL QUE ATRAVIESA EL ESTADO NACIONAL. PROMULGADA POR DEC.769 DEL 15-9-89. ABROGASE LA LEY N° 23.668,,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/norma.htm,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/15/texact.htm,107.0,20.0,1989,127.0
