ID,Vinc
61920,65232
48163,49329
38621,68525
10619,31692
169119,177947
28185,167838
44911,206906
365,334142
82954,208798
28196,48163
27897,219710
28185,6325
365,210251
31692,260519
31692,260521
365,35225
44911,305262
28185,209126
365,201489
15,5716
38621,227525
82954,321925
31692,40956
38621,177362
15,45511
61920,64446
72946,316974
170799,365
60039,61920
316974,341463
316974,334832
4389,4549
61920,123956
61920,63814
44911,258838
365,33432
31692,136187
61920,63232
58603,316974
1653,4389
48163,50845
44911,241175
4389,9213
365,15722
18771,38621
365,80764
28185,37767
28185,169119
61920,65631
28185,44911
48163,73048
65015,109354
7396,31692
61920,65530
52021,65015
255494,312340
23024,61920
310722,316974
15,2999
61920,62393
28185,159579
316974,323221
48163,65629
16536,316974
38621,90491
148397,163984
31692,344821
44911,89432
365,36892
48163,90151
31692,38032
15,3064
61920,62144
15,37107
48163,55192
28185,248700
365,117513
48163,53497
129082,129440
17440,31692
31692,41393
119942,365
365,194852
61920,65635
31692,41388
365,305347
44911,305822
48163,260554
44911,148393
316974,335192
16102,31692
44911,332991
61920,63790
61920,64265
365,264232
161,165
365,311009
365,100561
19879,48163
31692,41395
